C,d,p(gen),#gen_pred,%gen_pred,#spam_pred,%spam_pred,Total
0.5,200,0.5,329,60.93,211,39.07,540
0.5,200,0.5,313,86.94,47,13.06,360
0.5,200,0.5,16,8.89,164,91.11,180
0.5,200,0.6,329,60.93,211,39.07,540
0.5,200,0.6,313,86.94,47,13.06,360
0.5,200,0.6,16,8.89,164,91.11,180
0.5,200,0.7,332,61.48,208,38.52,540
0.5,200,0.7,315,87.5,45,12.5,360
0.5,200,0.7,17,9.44,163,90.56,180
0.5,200,0.8,334,61.85,206,38.15,540
0.5,200,0.8,316,87.78,44,12.22,360
0.5,200,0.8,18,10.0,162,90.0,180
0.5,200,0.9,334,61.85,206,38.15,540
0.5,200,0.9,316,87.78,44,12.22,360
0.5,200,0.9,18,10.0,162,90.0,180
